Domain,Provider,secret,secret_id,RE,Prefix
IaaS,Amazon Web Services (AWS),Amazon AWS Access Key ID with Amazon AWS Secret Access Key,aws_access_key_id,AKIA[0-9A-Z]{16},AKIA
Communicaton,Slack,Slack API Token,slack_api_token,xox[p|b|o|a]-[0-9]{12}-[0-9]{12}-[0-9]{12}-[a-z0-9]{32},xox
